ID,LPAR,RPAR,LBRACE,RBRACE,COMMA,RETURN,SEMI,IF,ELSE,WHILE,OR,AND,EQ,NEQ,LT,GT,LE,GE,PLUS,MINUS,TIMES,DIVIDE,NOT,TRUE,FALSE,NUMBER,$,S',Program,Function,Params,Body,StmtList,Stmt,StmtReturn,StmtIf,StmtWhile,StmtExpr,Block,Expr,ExprOr,ExprAnd,ExprEq,ExprAdd,ExprMul,ExprUnary,ExprPrimary,FuncArgs
,,r27,,,,,,,,,r27,r27,r27,r27,r27,r27,r27,r27,s90,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r28,,,,,,,,,r28,r28,r28,r28,r28,r28,r28,r28,s90,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r29,,,,,,,,,r29,r29,r29,r29,r29,r29,r29,r29,s90,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r30,,,,,,,,,r30,r30,r30,r30,r30,r30,r30,r30,s90,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r31,,,,,,,,,r31,r31,r31,r31,r31,r31,r31,r31,s90,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r32,,,,,,,,,r32,r32,r32,r32,r32,r32,r32,r32,s90,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r34,,,,,,,,,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,s92,s93,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r35,,,,,,,,,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,s92,s93,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r37,,,,,,,,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r38,,,,,,,,,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r48,,,,,,,,,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,
s34,s18,,s164,r10,,s160,,s161,,s162,,,,,,,,,,s13,,,s12,s15,s16,s17,,,,,,s152,s153,s154,s155,s156,s157,s158,s159,s163,s6,s7,s8,s9,s10,s11,s14,
,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r6,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r23,,,r23,,,,,,r23,s104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r25,,,r25,,,,,,r25,r25,s105,s106,s107,s108,s109,s110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r27,,,r27,,,,,,r27,r27,r27,r27,r27,r27,r27,r27,s111,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r28,,,r28,,,,,,r28,r28,r28,r28,r28,r28,r28,r28,s111,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r29,,,r29,,,,,,r29,r29,r29,r29,r29,r29,r29,r29,s111,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r30,,,r30,,,,,,r30,r30,r30,r30,r30,r30,r30,r30,s111,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r31,,,r31,,,,,,r31,r31,r31,r31,r31,r31,r31,r31,s111,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r32,,,r32,,,,,,r32,r32,r32,r32,r32,r32,r32,r32,s111,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r34,,,r34,,,,,,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,s113,s114,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r35,,,r35,,,,,,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,s113,s114,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r37,,,r37,,,,,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r38,,,r38,,,,,,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r48,,,r48,,,,,,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,r47,,,,,,,,,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,s166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s34,s18,,s164,r10,,s160,,s161,,s162,,,,,,,,,,s13,,,s12,s15,s16,s17,,,,,,,s167,s154,s155,s156,s157,s158,s159,s163,s6,s7,s8,s9,s10,s11,s14,
r11,r11,,r11,r11,,r11,,r11,,r11,,,,,,,,,,r11,,,r11,r11,r11,r11,,,,,,,,,,,,,,,,,,,,,,
r12,r12,,r12,r12,,r12,,r12,,r12,,,,,,,,,,r12,,,r12,r12,r12,r12,,,,,,,,,,,,,,,,,,,,,,
r13,r13,,r13,r13,,r13,,r13,,r13,,,,,,,,,,r13,,,r13,r13,r13,r13,,,,,,,,,,,,,,,,,,,,,,
r14,r14,,r14,r14,,r14,,r14,,r14,,,,,,,,,,r14,,,r14,r14,r14,r14,,,,,,,,,,,,,,,,,,,,,,
r15,r15,,r15,r15,,r15,,r15,,r15,,,,,,,,,,r15,,,r15,r15,r15,r15,,,,,,,,,,,,,,,,,,,,,,
s34,s18,,,,,,,,,,,,,,,,,,,s13,,,s12,s15,s16,s17,,,,,,,,,,,,,,s168,s6,s7,s8,s9,s10,s11,s14,
,s169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,s171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s34,s18,,s164,r10,,s160,,s161,,s162,,,,,,,,,,s13,,,s12,s15,s16,s17,,,,,,,s172,s154,s155,s156,s157,s158,s159,s163,s6,s7,s8,s9,s10,s11,s14,
,,r47,,,r47,,,,,,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,
r4,r4,,,,,,,,,,,,,,,,,,,r4,,,r4,r4,r4,r4,r4,,,,,,,,,,,,,,,,,,,,,
,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,s173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s49,s50,,,,,,,,,,,,,,,,,,,s44,,,s43,s46,s47,s48,,,,,,,,,,,,,,s174,s37,s38,s39,s40,s41,s42,s45,
s49,s50,,,,,,,,,,,,,,,,,,,s44,,,s43,s46,s47,s48,,,,,,,,,,,,,,s175,s37,s38,s39,s40,s41,s42,s45,
r20,r20,,r20,r20,,r20,,r20,,r20,,,,,,,,,,r20,,,r20,r20,r20,r20,,,,,,,,,,,,,,,,,,,,,,
,,,,s176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r16,r16,,r16,r16,,r16,,r16,,r16,,,,,,,,,,r16,,,r16,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,
,,s177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r21,r21,,r21,r21,,r21,,r21,,r21,,,,,,,,,,r21,,,r21,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,
